term,lemma,suggested_meaning_zh_simp,part_of_speech,part_of_speech_zh,popup_speak_text_zh,tts_engine_preferred,tts_voice_preferred,quality_grade,import_allowed,can_default_popup,single_click_popup_enabled,high_confidence_popup,can_learning_search,needs_followup_review,product_layer_after_prepare,reason,match_source,meaning_supported_by_current_evidence,repaired_from_reject,source_index,source_volume,source_page,evidence_en,evidence_zh_simp,occurrence_count,volume_count,score,original_product_layer,original_final_category,original_meaning_zh_simp,database_write_performed,front_end_import_ready,reader_dictionary_import_candidate,domain_glossary_import_candidate,metadata
experience,experience,经历,noun,名词,名词，经历。英文，experience。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,7,01 Genesis,26,"Check with your own experience. First, the Spirit broods over you. Then comes the speaking.",请核对你自己的经历。首先那灵覆翼在你身上，然后有了说话，借此你接受了活的话，那活的话就在里面照亮你。当神说话，祂就吩咐光从黑暗里照出来。『因为那说光要从黑暗里照出来的神，已经照在我们心里…。』神的说话带进光。阿利路亚！,6962,48,7442.0,default_front_glossary,frontend_ready,经历,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""26"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，经历。英文，experience。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
grace,grace,恩典,noun,名词,名词，恩典。英文，grace。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,19,01 Genesis,298,His mercy and grace we are all seekers of the Lord.,怜悯和恩典，我们都是寻求主的人。,4951,47,5421.0,default_front_glossary,frontend_ready,恩典,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""298"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，恩典。英文，grace。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
gospel,gospel,福音,noun,名词,名词，福音。英文，gospel。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,17,01 Genesis,24,"We need to see that the record of Genesis is something related to life, to God’s gospel, and spiritual things.",翼，如同母鸡为生小鸡而孵卵一样。当圣经头一次说到那灵，不是说那灵的能力，或那灵的大能，乃是说『神的灵覆翼在水面上。』这意思是祂在豫备产生生命。我们需要看见，创世记一章的记载是关乎生命，关乎神的福音并关乎属灵的事的。关于这点，林后四章六节是很强的证明。保罗说，『因为那说光要从黑暗里照出来的神，已经照在我们心里，为著光照人，使人认识那显在耶稣基督面上之神的荣耀。』这必是指创世记一章说的。藉这节经文我们能领会，创世记一章所记的每件事，必是与生命，与神的光照，与神的福音有关。基于这一节，我们需要根据生命解释每件事。,5448,45,5898.0,default_front_glossary,frontend_ready,福音,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""24"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，福音。英文，gospel。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
glory,glory,荣耀,noun,名词,名词，荣耀。英文，glory。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,22,01 Genesis,9,"Why does Christ hold everything? He holds all things for His glory, for His Body. If heavens were to collapse and the earth drop, then where should we be, and where would the Body be?",为甚么基督维持、载著并推动一切？祂维持、载著并推动万有，是为著祂的荣耀，为著祂的身体。诸天若是相撞，地球若是坠落，那么我们要在那里？基督的身体要在那里？我们有这样好的地球可以生活其上，行走其上，我们也有诸天为我们效力。当我们需要阳光时，天就打发牠来。当我们需要雨水时，雨水就来了。当我们需要空气时，空气就在这里。在月球上没有空气，但环绕著地球有天空，在天空里有空气。诸天是为著地效力，地又是为著我们，而我们在这里是为著基督的身体，甚至就是这身体。基督爱这身体。为著祂的身体，祂维持、载著并推动整个宇宙。阿利路亚！,4455,42,4875.0,default_front_glossary,frontend_ready,荣耀,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""9"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，荣耀。英文，glory。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
faith,faith,信心,noun,名词,名词，信心。英文，faith。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,26,01 Genesis,158,"Abraham was not a giant of faith by himself; he was as weak as we are. The God of glory appeared to Abraham again and again, each time transfusing and infusing His divine elements into him, enabling him to live by the faith of God.",亚伯拉罕凭自己并不是信心的大汉，他和我们一样软弱。但是荣耀的神一次又一次向他显现，每一次都将祂神圣的成分传输注入到他里面，使他能凭神的信活著。亚伯拉罕的经历使我们想起电池，电池充电后很好用，但一段时间后需要再充电。照著神向亚伯拉罕的显现来研究亚伯拉罕的历史是非常有趣的。神呼召亚伯拉罕从迦,3771,46,4231.0,default_front_glossary,frontend_ready,信心,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""158"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，信心。英文，faith。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
enjoyment,enjoyment,享受,noun,名词,名词，享受。英文，enjoyment。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,27,01 Genesis,31,"After the fall of humanity and during the time of Noah, the land was once again covered by waters of death (Gen. signifying that man was severed from Christ. Humanity was severed from the enjoyment of the good land. After this, land was recovered again (Gen.",人类堕落后，在挪亚的时代里，地再度被死水淹埋。（创七这表征人与基督隔绝了。人类断绝了对这美地的享受。此后地又得以恢复。（创八地得恢复以后，一直到巴别的时候，人,3695,46,4155.0,default_front_glossary,frontend_ready,享受,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""31"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，享受。英文，enjoyment。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
righteousness,righteousness,公义,noun,名词,名词，公义。英文，righteousness。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,33,21 Ecclesiastes,9,"a. A Poor Man Being Oppressed under the Wresting of Justice and Righteousness In a province a poor man is oppressed under wresting of justice and righteousness, although there are ranks of officials who should attend to this matter and even there is a king who is used to doing things for the advantage of the land.",穷人受欺压，公正和公义遭剥夺在一省之中，虽有各级的官长留意，甚至有君王惯常作有益于国的事，但穷人受欺压，公正和公义遭剥夺。这乃是虚空。（五贪爱银子的，并不知足贪爱银子，以及贪爱丰富和利益的，并不知足；富足人的丰满，却不容他睡觉。这也是虚空。（10,3509,42,3929.0,default_front_glossary,frontend_ready,公义,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""21 Ecclesiastes"", ""source_page"": ""9"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，公义。英文，righteousness。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
apostles,apostle,使徒,noun,名词,名词，使徒。英文，apostles。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,53,01 Genesis,83,m) The Cases of the Apostles The entire book of Acts and all the Epistles show us the apostles were persons who bore the image of God.,使徒们的例子整本行传和一切的书信给我们看见，使徒们是有神形像的人，因此他们,2728,49,3218.0,default_front_glossary,frontend_ready,使徒,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""83"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，使徒。英文，apostles。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
element,element,元素,noun,名词,名词，元素。英文，element。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,81,01 Genesis,2,"The Bible contains the very element of God. Whatever God is, is contained in this divine book. God is light, life, love, power, wisdom, and many other items.",呼出的。圣经包含了神的元素。凡神之所是，都包含在这本神圣的书里。神是光、生命、爱、能力、智慧、以,2261,47,2731.0,default_front_glossary,frontend_ready,元素,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""01 Genesis"", ""source_page"": ""2"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun"", ""part_of_speech_zh"": ""名词"", ""popup_speak_text_zh"": ""名词，元素。英文，element。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
blessing,blessing,祝福,noun_or_verb,名词或动词,名词或动词，祝福。英文，blessing。,edge-tts,zh-CN-YunjianNeural,A,true,true,true,true,true,false,default_front_glossary,Confirmed. Existing front-end candidate has aligned English and Chinese evidence.,final_import_precheck_49,true,false,74,02 Exodus,17,We should trust only in the Lord’s sovereign blessing.,福。当主祝福我们时，连我们的过,2317,45,2767.0,default_front_glossary,frontend_ready,祝福,false,false,false,true,"{""schema"": ""sentence_reader.lifestudy_full_database_import_prepare.item.v1"", ""original_product_layer"": ""default_front_glossary"", ""original_final_category"": ""frontend_ready"", ""source_volume"": ""02 Exodus"", ""source_page"": ""17"", ""can_default_popup"": true, ""single_click_popup_enabled"": true, ""high_confidence_popup"": true, ""can_learning_search"": true, ""needs_followup_review"": false, ""repaired_from_reject"": false, ""part_of_speech"": ""noun_or_verb"", ""part_of_speech_zh"": ""名词或动词"", ""popup_speak_text_zh"": ""名词或动词，祝福。英文，blessing。"", ""tts_engine_preferred"": ""edge-tts"", ""tts_voice_preferred"": ""zh-CN-YunjianNeural""}"
